id,price_doc
0,9420000.0
1,7139935.2
2,6508000.0
3,5427633.0
4,6543822.0
5,10014449.6
6,6253153.8
7,5181702.4
8,3770000.0
9,7476594.2
10,8776048.6
11,6543822.0
12,7158331.2
13,5830967.0
14,5800434.6
15,4925872.0
16,20355236.4
17,8760000.0
18,5830967.0
19,15400000.0
20,6812028.6
21,8810000.0
22,5278114.0
23,4967033.4
24,4330000.0
25,7060000.0
26,13159309.0
27,8390000.0
28,4148202.8
29,6410000.0
30,6420000.0
31,10145544.2
32,2496940.6
33,8604315.6
34,6253153.8
35,7990000.0
36,9306322.0
37,6530000.0
38,8171948.4
39,6253153.8
40,2810617.6
41,9306322.0
42,7321276.8
43,10014449.6
44,9979364.8
45,7190000.0
46,11513121.8
47,6634000.0
48,6551744.4
49,8860000.0
50,7850000.0
51,10980000.0
52,7889740.8
53,5069368.0
54,7668800.0
55,6880000.0
56,6953680.0
57,8370000.0
58,4518136.8
59,9810000.0
60,6543822.0
61,9306322.0
62,4597396.0
63,5540000.0
64,6526000.0
65,4970672.4
66,9306322.0
67,11360000.0
68,2496940.6
69,4280400.0
70,4402000.0
71,7470000.0
72,4874158.0
73,13177721.0
74,4597396.0
75,6624642.4
76,7119800.0
77,5336604.8
78,2810617.6
79,7440000.0
80,10520000.0
81,6253153.8
82,10014449.6
83,5480000.0
84,10145544.2
85,6126000.0
86,10750000.0
87,9154000.0
88,11537560.6
89,4970672.4
90,5570000.0
91,6433640.0
92,4811476.0
93,2496940.6
94,11400000.0
95,12500000.0
96,11200000.0
97,13159309.0
98,7889740.8
99,9306322.0
100,6710000.0
101,15460000.0
102,5866993.0
103,4490000.0
104,2822319.2
105,4876000.0
106,4966000.0
107,7360000.0
108,14310000.0
109,5917139.0
110,4573049.4
111,7158331.2
112,8099663.8
113,4874158.0
114,8480000.0
115,7510000.0
116,9826140.0
117,5830000.0
118,7986000.0
119,5278114.0
120,9997664.8
121,13058826.6
122,6406102.2
123,9306322.0
124,9306322.0
125,7277984.2
126,4970672.4
127,5890000.0
128,2810617.6
129,9306322.0
130,6800000.0
131,9306322.0
132,7790000.0
133,5887000.0
134,7158331.2
135,4925872.0
136,3580500.0
137,6502243.4
138,6160000.0
139,11513121.8
140,16634444.0
141,4210000.0
142,6502243.4
143,8920000.0
144,5320000.0
145,4970672.4
146,2810617.6
147,7730000.0
148,7470000.0
149,7600000.0
150,3886968.8
151,6551744.4
152,10630000.0
153,5440000.0
154,9306322.0
155,6676000.0
156,4970672.4
157,5503335.0
158,5427633.0
159,5430000.0
160,9712428.8
161,9306322.0
162,6314000.0
163,9306322.0
164,7620000.0
165,12756457.8
166,5181702.4
167,5378769.6
168,10770000.0
169,4778000.0
170,9306322.0
171,6314000.0
172,4860000.0
173,6415577.6
174,18714867.6
175,2496940.6
176,6820000.0
177,2496940.6
178,6041875.2
179,11602820.0
180,4707962.0
181,20263886.8
182,4925872.0
183,5160000.0
184,24603046.4
185,8604315.6
186,6780000.0
187,8883343.6
188,8083114.2
189,3295000.0
190,13040000.0
191,4925872.0
192,2496940.6
193,7158331.2
194,9853942.4
195,7170000.0
196,4635753.8
197,5740000.0
198,20263886.8
199,6290000.0
200,8450000.0
201,2496940.6
202,5995000.0
203,7600000.0
204,16443975.4
205,3952000.0
206,5278114.0
207,3221135.0
208,10770000.0
209,9306322.0
210,7707083.2
211,5130000.0
212,6622631.8
213,7538091.6
214,6624642.4
215,15900000.0
216,18714867.6
217,6175000.0
218,8330000.0
219,17835897.4
220,8620000.0
221,8426979.0
222,7606000.0
223,10360000.0
224,6040000.0
225,7920000.0
226,7889740.8
227,9306322.0
228,6200000.0
229,4706608.0
230,11537560.6
231,6906000.0
232,18714867.6
233,2496940.6
234,7520000.0
235,9306322.0
236,3453896.0
237,4706608.0
238,6748006.6
239,10360000.0
240,13519464.0
241,4812934.4
242,9306322.0
243,7200000.0
244,10008000.0
245,11602820.0
246,5150000.0
247,30265429.6
248,5999780.0
249,4999025.6
250,9513700.0
251,8030000.0
252,7990000.0
253,9306322.0
254,9737734.4
255,2496940.6
256,5040000.0
257,5378769.6
258,7350000.0
259,6540000.0
260,9513700.0
261,7321276.8
262,9997664.8
263,6960000.0
264,7930000.0
265,2496940.6
266,6606552.0
267,11602820.0
268,6502243.4
269,6439982.2
270,8083114.2
271,5880000.0
272,7321276.8
273,11859557.0
274,13159309.0
275,6730000.0
276,6611946.8
277,4443200.0
278,11602820.0
279,11513121.8
280,8499600.0
281,2496940.6
282,4970672.4
283,6040000.0
284,11312000.0
285,5380000.0
286,2496940.6
287,11010000.0
288,5181702.4
289,11537560.6
290,4811476.0
291,6790000.0
292,5959158.0
293,9280000.0
294,6500000.0
295,8888000.0
296,4925872.0
297,4148202.8
298,9490000.0
299,6502243.4
300,5378769.6
301,6340000.0
302,4650000.0
303,4811476.0
304,8500000.0
305,7018000.0
306,8680000.0
307,9306322.0
308,7170000.0
309,4925872.0
310,4707962.0
311,5390000.0
312,6502243.4
313,6502243.4
314,4910154.0
315,7170000.0
316,9260000.0
317,9513700.0
318,9513700.0
319,6655879.6
320,15818932.4
321,7357390.0
322,4544000.0
323,11537560.6
324,3221135.0
325,8580000.0
326,5330000.0
327,6502243.4
328,6800000.0
329,7158331.2
330,7158331.2
331,13020000.0
332,9513700.0
333,5010000.0
334,11770604.6
335,4706608.0
336,9070000.0
337,4518136.8
338,6400000.0
339,5320000.0
340,4635753.8
341,5830967.0
342,6970000.0
343,2822319.2
344,5040000.0
345,8099663.8
346,3150000.0
347,5570000.0
348,15220000.0
349,8426979.0
350,5069368.0
351,5278114.0
352,6530000.0
353,5452041.0
354,5560000.0
355,5370000.0
356,8083114.2
357,9917400.4
358,7790000.0
359,6640000.0
360,4811476.0
361,5700000.0
362,3886968.8
363,8517537.6
364,4600000.0
365,8500000.0
366,6693000.0
367,7300000.0
368,7663743.8
369,15430000.0
370,9997664.8
371,19786369.2
372,5378769.6
373,6400000.0
374,5503335.0
375,6415577.6
376,4925872.0
377,7158331.2
378,5830967.0
379,6041875.2
380,6032000.0
381,9737734.4
382,9550000.0
383,2562642.2
384,6502243.4
385,4925872.0
386,6300000.0
387,10014449.6
388,7702000.0
389,9997664.8
390,12080000.0
391,6660000.0
392,5278114.0
393,8240000.0
394,7264000.0
395,7860000.0
396,5238000.0
397,8590000.0
398,7158331.2
399,7158331.2
400,5400000.0
401,8200000.0
402,8604315.6
403,11873000.0
404,7321276.8
405,4485394.0
406,6502243.4
407,2496940.6
408,24603046.4
409,5350000.0
410,7321276.8
411,5304594.8
412,4811476.0
413,4417281.6
414,4970672.4
415,8580000.0
416,6450000.0
417,5959158.0
418,5959158.0
419,6502243.4
420,6235000.0
421,7321276.8
422,9612406.4
423,7748000.0
424,8083114.2
425,8922832.2
426,7158331.2
427,7863040.0
428,2496940.6
429,7054255.8
430,8810000.0
431,7321276.8
432,7965548.0
433,9240000.0
434,5427633.0
435,9737734.4
436,6093533.0
437,5862000.0
438,11270000.0
439,14330000.0
440,7940000.0
441,9490000.0
442,7158331.2
443,23004697.6
444,8583404.0
445,2496940.6
446,9780000.0
447,5452041.0
448,5080000.0
449,7158331.2
450,5278114.0
451,12727280.0
452,9612406.4
453,8778000.0
454,5590000.0
455,5278114.0
456,5770000.0
